id;creator_address;owner_address;contract_address;file_address;actual_file;metadata_address;metadata;tile;format;traits
1;Shoes synthesize;Dinar payment panel;data-warehouse Regional;Denmark invoice;Regional THX revolutionize;Baby Minnesota;generating Tuna lime;initiatives productize;GIF;Colorado
2;lime Malawi;deposit;wireless Concrete;Stand-alone;Loan blue;Outdoors;out-of-the-box;Chief connect;MP4;Architect Tunisian
3;cross-platform Ways programming;Re-engineered Assistant synthesizing;Savings North one-to-one;Small Creative Director;Cotton;redundant Djibouti SMTP;Concrete invoice;benchmark;PNG;Global Concrete Designer
4;HDD Cotton;THX;access Bedfordshire redundant;Home;full-range Lead navigate;granular Mountains blue;Refined;Executive 24/7;MP4;convergence iterate
5;withdrawal Administrator ADP;cross-platform Soft;Games Drives;dot-com;Towels;Concrete;parsing Steel customized;SDD Oregon Course;PNG;Cambridgeshire
6;iterate Ruble Producer;Turkey payment calculating;program;Plastic Producer Account;Account Metrics virtual;cutting-edge;supply-chains Granite;Avon;GIF;real-time
7;digital;Soft Kwacha;ubiquitous 1080p Managed;haptic Accountability;Configuration Seychelles program;Metal Loaf Industrial;Data Cambridgeshire;Arkansas Metal;MP4;connect disintermediate
8;AI Outdoors functionalities;ROI;partnerships;bypass Principal compress;Avon Proactive Chief;Refined;Avon maroon Unbranded;Account Credit Kids;GIF;Plastic FTP forecast
9;Fresh Computers Run;Developer pixel;Intuitive deposit;frame Infrastructure;Applications Wisconsin Keyboard;Handcrafted Cotton;reboot;Ergonomic port Chips;GIF;Practical alarm 1080p
10;tangible Regional robust;Account Franc solution;Illinois;zero;Balanced incubate;lime Inverse virtual;Granite;Liaison haptic enable;JPG;Market Computer zero
